suite,sample_id,case_path,query,query_language,query_style,strategy_subtype,expected_report_type,expected_depth,expected_output_format,expected_time_horizon,target_reader,institution_name,institution_business_type,institution_country_or_region,report_title,report_date,publication_period,quality_tier,candidate_path,source_document_path,source_format,source_file_name,source_sha256,source_page_count,source_parse_quality,source_pack_count,key_fact_count,must_have_section_count,prohibited_mistake_count,recommended_runner,verifier_mode,notes
v1_reference_based_golden,strategy_sample_001,evals/strategy_report/cases_merged33/strategy_sample_001.json,What are the key investment themes and catalysts for 2026 according to Goldman Sachs Asset Management's annual outlook?,en,analyst_request,annual_outlook,annual_outlook,institutional_style,webpage,12 months,institutional investor,Goldman Sachs Asset Management,asset_manager,US,Investment Outlook 2026: Seeking Catalysts Amid Complexity,2025-12-01,2026 Outlook,A,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/001-goldman-sachs-asset-management-investment-outlook-2026-seeking-catalysts-amid-complexity.pdf,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/001-goldman-sachs-asset-management-investment-outlook-2026-seeking-catalysts-amid-complexity.pdf,pdf,001-goldman-sachs-asset-management-investment-outlook-2026-seeking-catalysts-amid-complexity.pdf,aeff6db4a45eb9fdc99a04b603a06244f302f10250687ae358172d23efc0ad56,57,excellent,1,6,8,8,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_002,evals/strategy_report/cases_merged33/strategy_sample_002.json,"What is J.P. Morgan Private Bank's mid-year 2026 outlook on global fragmentation, inflation, and AI, and what are the investment implications?",en,institutional_client,midyear_outlook,midyear_outlook,institutional_style,pdf,H2 2026,private_bank_clients,J.P. Morgan Private Bank,private_bank,US,Promise and Pressure,,2026 Mid-Year,A,dataset_build/curated_strategy_samples_verified/midyear_outlook/pdf/002-j-p-morgan-private-bank-wealth-management-promise-and-pressure.pdf,dataset_build/curated_strategy_samples_verified/midyear_outlook/pdf/002-j-p-morgan-private-bank-wealth-management-promise-and-pressure.pdf,pdf,002-j-p-morgan-private-bank-wealth-management-promise-and-pressure.pdf,6ea95b316ecd403066419de2a88a5b67a1336099a592a12ecba22014aad2911d,70,excellent,3,6,8,3,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_003,evals/strategy_report/cases_merged33/strategy_sample_003.json,"What is the J.P. Morgan view on the speed of the energy transition, and what are the key findings from their 2025 annual energy paper?",en,institutional_client,thematic_research_energy_transition,thematic_research_energy_transition,institutional_style,pdf,Decades (energy transition) with near-term focus on 2025 policies and deployments,"High-net-worth private bank clients, institutional investors, portfolio managers",J.P. Morgan Private Bank / Wealth Management,private_bank,US,Eye on the Market: Heliocentrism — 15th Annual Energy Paper,2025-03-04,March 2025,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/003-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/003-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,pdf,003-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,abf8676706d50c7fff9e5a08fab9028c7d000894537ccfcad07cccc4afaed8dd,55,excellent,6,7,8,7,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_004,evals/strategy_report/cases_merged33/strategy_sample_004.json,What are the biggest risks to the concentrated AI-driven rally in US equities heading into 2026?,en,institutional_client,asset_allocation,annual investment outlook,institutional_style,pdf,12 months,private wealth clients and institutional investors,J.P. Morgan Private Bank / Wealth Management,private_bank,US,Smothering Heights,2026-01-01,2026 Outlook,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/004-j-p-morgan-private-bank-wealth-management-smothering-heights.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/004-j-p-morgan-private-bank-wealth-management-smothering-heights.pdf,pdf,004-j-p-morgan-private-bank-wealth-management-smothering-heights.pdf,c8a94fde08ba32b68059f20961454a475cbb00e024038728d2402e6e6b86cc0d,53,excellent,4,5,7,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_005,evals/strategy_report/cases_merged33/strategy_sample_005.json,"I'm looking for J.P. Morgan's latest biennial review of alternative investments, covering private equity, venture capital, hedge funds, private credit, and real estate, with performance data and risk analysis.",en,institutional_client,alternative_investments,alternative_investments_review,institutional_style,pdf,2025,institutional investors and high-net-worth individuals,J.P. Morgan Private Bank / Wealth Management,private_bank,US,Eye on the Market: The Deep End: 2025 Alternative Investments Review,2025-12-02,Biennial,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/005-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/005-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,pdf,005-j-p-morgan-private-bank-wealth-management-eye-on-the-market.pdf,a3ebf08c5febe3e7751051c3d1a40051d624bf1032f1b256284a15eea78447e3,56,excellent,4,2,0,0,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_006,evals/strategy_report/cases_merged33/strategy_sample_006.json,"What are the key arguments for the extreme undervaluation of the US healthcare sector in mid-2025, and what catalysts could trigger a rebound?",en,institutional_client,asset_allocation,thematic strategy note,institutional_style,pdf,6-12 months,"high-net-worth individual, family office, or institutional investor interested in sector allocation",J.P. Morgan Private Bank / Wealth Management,private_bank,US,Sick as a Dog,2025-08-12,Special Edition,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/006-j-p-morgan-private-bank-wealth-management-sick-as-a-dog.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/006-j-p-morgan-private-bank-wealth-management-sick-as-a-dog.pdf,pdf,006-j-p-morgan-private-bank-wealth-management-sick-as-a-dog.pdf,6d91c48e439f55763d84e8bfaa26d8162bedf8272354d6a5799c9e850156ff13,31,excellent,0,7,8,7,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_008,evals/strategy_report/cases_merged33/strategy_sample_008.json,"What is Fidelity International's outlook for 2026, including macro themes, asset class convictions, and regional opportunities?",en,institutional_client,annual_outlook,annual_outlook,institutional_style,pdf,2026,institutional investors and investment professionals,Fidelity International / Fidelity UK,asset_manager,UK,Outlook 2026: The Age of Alpha,,2026,A,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/008-fidelity-international-fidelity-uk-this-is-for-investment-professionals-only-and-should-not-be-relied-upon-by-priva.pdf,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/008-fidelity-international-fidelity-uk-this-is-for-investment-professionals-only-and-should-not-be-relied-upon-by-priva.pdf,pdf,008-fidelity-international-fidelity-uk-this-is-for-investment-professionals-only-and-should-not-be-relied-upon-by-priva.pdf,d9ec881702d274d6081a523d22ba1ae93bec4c6493ec4d99709772b03ebde37c,28,excellent,2,8,7,8,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_009,evals/strategy_report/cases_merged33/strategy_sample_009.json,"What are J.P. Morgan Private Bank's key investment themes and strategic recommendations for 2026, particularly regarding artificial intelligence, global fragmentation, and inflation?",en,institutional_client,annual_outlook,Annual Outlook Report,standard_report,pdf,2026,Private bank clients and financial representatives,J.P. Morgan Private Bank / Wealth Management,private_bank,US,J.P. Morgan Outlook 2026,,Annual Outlook,B,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/009-j-p-morgan-private-bank-wealth-management-j-p-morgan-outlook-2026.pdf,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/009-j-p-morgan-private-bank-wealth-management-j-p-morgan-outlook-2026.pdf,pdf,009-j-p-morgan-private-bank-wealth-management-j-p-morgan-outlook-2026.pdf,d18bac5195a212682943a16ad8b8a62524a4832646727e747a275c0e8a4e1fae,70,excellent,0,5,6,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_015,evals/strategy_report/cases_merged33/strategy_sample_015.json,What tactical shifts did Fidelity make to their multi-asset outlook in Q2 2026 due to Middle East risks?,en,retail_user,quarterly_outlook,investment_outlook,standard_report,pdf,Q2 2026 (3 months),Fidelity Personal Investing retail clients,Fidelity International / Fidelity UK,asset_manager,UK,Investment Outlook – Q2 2026,2026-04-01,Q2 2026,A,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/015-fidelity-international-fidelity-uk-in-this-issue.pdf,dataset_build/curated_strategy_samples_verified/annual_outlook/pdf/015-fidelity-international-fidelity-uk-in-this-issue.pdf,pdf,015-fidelity-international-fidelity-uk-in-this-issue.pdf,eb7fceb6195c7b319f474b1ae5692b1c282d438017313c227d6459138f7d0796,20,excellent,0,9,8,7,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,strategy_sample_017,evals/strategy_report/cases_merged33/strategy_sample_017.json,What are the key demand signals and investment themes for sustainable finance over the next decade?,en,portfolio_committee,asset_allocation,asset_allocation_and_thematic_strategy,institutional_style,pdf,"next 10 years, with focus on milestone year 2030","institutional investors, asset allocators, and sustainability officers",Morgan Stanley,investment_bank,US,Navigating the Next Decade: 10 Demand Signals for the Next 10 Years of Sustainable Finance,2023-01-01,2023,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/017-morgan-stanley-navigating-the-next-decade.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/017-morgan-stanley-navigating-the-next-decade.pdf,pdf,017-morgan-stanley-navigating-the-next-decade.pdf,03c29fe6cf7ab9faa6668b8c22dfdd44d216659fa439367babb08e90676875de,18,excellent,3,5,7,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
